2,1,118.15,229.98,25.88,134.66,1,-1,-1,-1
2,2,32.98,309,23.39,136.3,1,-1,-1,-1
2,3,428.96,323,27.42,126.5,1,-1,-1,-1
2,4,345.55,117.78,17.73,101.06,1,-1,-1,-1
2,5,330,75.84,19.41,93.8,1,-1,-1,-1
2,6,173.19,82.57,16.38,102.06,1,-1,-1,-1
2,7,548.76,257,23.29,122.57,1,-1,-1,-1
2,8,251.49,81,20,100.34,1,-1,-1,-1
2,9,287.79,72.56,15.85,93.22,1,-1,-1,-1
2,10,567.85,114.23,19.15,104.14,1,-1,-1,-1
2,11,-0.18,493.98,13.78,115.07,1,-1,-1,-1
2,12,517.54,148.76,18.78,98.95,1,-1,-1,-1
2,13,345.08,551,28.86,57.5,1,-1,-1,-1
2,14,79.29,204,23.82,128.69,1,-1,-1,-1
2,15,159.37,72.97,15.17,92.73,1,-1,-1,-1
2,16,456.79,139.23,17.54,94.83,1,-1,-1,-1
2,17,278.1,72,14.69,90.01,1,-1,-1,-1
2,18,110.94,56,18.75,100.28,1,-1,-1,-1
2,19,131.52,48.98,15.99,100.05,1,-1,-1,-1
2,20,467.3,41,18.97,80.46,1,-1,-1,-1
3,1,118.23,229.95,25.94,134.88,1,-1,-1,-1
3,2,32.77,309,23.42,136.65,1,-1,-1,-1
3,3,428.88,323,27.35,126.24,1,-1,-1,-1
3,4,343.98,118.02,17.82,100.33,1,-1,-1,-1
3,5,330.47,76.15,19.23,92.72,1,-1,-1,-1
3,6,173.01,82.28,16.39,102.12,1,-1,-1,-1
3,7,548.13,257,24.74,130.23,1,-1,-1,-1
3,8,251.67,81.76,19.88,99.83,1,-1,-1,-1
3,9,288,73.05,15.81,93,1,-1,-1,-1
3,10,568.24,114.02,19.15,104,1,-1,-1,-1
3,11,-0.05,493.19,13.89,115.99,1,-1,-1,-1
3,12,517.23,148.21,18.72,98.55,1,-1,-1,-1
3,13,345.64,551,28.85,57.56,1,-1,-1,-1
3,14,78.03,203.23,23.92,129.35,1,-1,-1,-1
3,15,159.12,73.68,15.22,92.53,1,-1,-1,-1
3,16,456.51,138.98,17.6,94.91,1,-1,-1,-1
3,17,277.9,72.76,14.72,89.8,1,-1,-1,-1
3,18,110.39,56,18.73,100.12,1,-1,-1,-1
3,19,131.6,49.71,15.8,98.56,1,-1,-1,-1
3,20,467.05,41,19.04,80.71,1,-1,-1,-1
4,1,118.33,229.22,25.93,134.68,1,-1,-1,-1
4,2,32.74,309,23.36,136.47,1,-1,-1,-1
4,3,428.97,323.74,27.27,125.87,1,-1,-1,-1
4,4,342.34,118.82,17.94,98.76,1,-1,-1,-1
4,5,330.69,75.45,19.01,91.33,1,-1,-1,-1
4,6,172.83,81.42,16.59,103.55,1,-1,-1,-1
4,7,547.6,256.28,25.32,133.01,1,-1,-1,-1
4,8,251.07,82.01,19.91,100.09,1,-1,-1,-1
4,9,287.96,73.16,15.73,92.61,1,-1,-1,-1
4,10,568.32,113.96,19.18,104,1,-1,-1,-1
4,11,-0.03,492.95,13.8,115.25,1,-1,-1,-1
4,12,516.42,147.29,19.08,100.39,1,-1,-1,-1
4,13,347.17,550.26,28.97,58.06,1,-1,-1,-1
4,14,77.85,202.99,23.57,127.47,1,-1,-1,-1
4,15,159.51,76.15,15.12,91.46,1,-1,-1,-1
4,16,455.86,138.92,17.6,95.02,1,-1,-1,-1
4,17,277.73,73.01,14.78,89.8,1,-1,-1,-1
4,18,110.39,55.26,18.86,101.05,1,-1,-1,-1
4,19,131.41,47.74,16.12,100.39,1,-1,-1,-1
4,20,466.78,41,19.04,80.73,1,-1,-1,-1
4,25,90.87,66.78,17.66,95.01,1,-1,-1,-1
5,1,118.22,228.26,26.05,135.24,1,-1,-1,-1
5,2,32.73,309,23.36,136.65,1,-1,-1,-1
5,3,428.82,323.27,27.38,126.48,1,-1,-1,-1
5,4,341.36,119.07,18.51,99.15,1,-1,-1,-1
5,5,330.24,75.92,18.61,88.91,1,-1,-1,-1
5,6,172.81,81.12,16.84,105.21,1,-1,-1,-1
5,7,547.36,256.02,24.28,127.26,1,-1,-1,-1
